Date,Consumption
01-Apr-15,357.073
02-Apr-15,341.931
03-Apr-15,318.777
04-Apr-15,312.494
05-Apr-15,270.837
06-Apr-15,290.126
07-Apr-15,296.189
08-Apr-15,285.508
09-Apr-15,251.327
10-Apr-15,220.163
11-Apr-15,236.154
12-Apr-15,217.335
13-Apr-15,265.307
14-Apr-15,233.169
15-Apr-15,209.638
16-Apr-15,232.823
17-Apr-15,241.557
18-Apr-15,212.686
19-Apr-15,215.325
20-Apr-15,222.048
21-Apr-15,220.917
22-Apr-15,255.788
23-Apr-15,232.227
24-Apr-15,204.643
25-Apr-15,203.984
26-Apr-15,216.519
27-Apr-15,228.991
28-Apr-15,269.109
29-Apr-15,259.181
30-Apr-15,250.416
01-May-15,241.18
02-May-15,205.209
03-May-15,202.601
04-May-15,186.642
05-May-15,174.233
06-May-15,207.125
07-May-15,223.116
08-May-15,207.534
09-May-15,178.914
10-May-15,173.95
11-May-15,182.464
12-May-15,195.25
13-May-15,197.229
14-May-15,180.673
15-May-15,209.261
16-May-15,215.199
17-May-15,183.94
18-May-15,237.567
19-May-15,236.688
20-May-15,227.514
21-May-15,196.161
22-May-15,179.071
23-May-15,170.306
24-May-15,157.111
25-May-15,171.154
26-May-15,196.067
27-May-15,180.233
28-May-15,193.899
29-May-15,208.979
30-May-15,183.186
31-May-15,190.412
01-Jun-15,196.821
02-Jun-15,197.889
03-Jun-15,193.019
04-Jun-15,184.349
05-Jun-15,175.207
06-Jun-15,147.875
07-Jun-15,150.954
08-Jun-15,173.699
09-Jun-15,192.485
10-Jun-15,177.374
11-Jun-15,164.714
12-Jun-15,160.253
13-Jun-15,140.681
14-Jun-15,150.954
15-Jun-15,180.893
16-Jun-15,195.91
17-Jun-15,178.505
18-Jun-15,177.406
19-Jun-15,183.72
20-Jun-15,169.018
21-Jun-15,160.033
22-Jun-15,213.534
23-Jun-15,225.095
24-Jun-15,201.376
25-Jun-15,191.763
26-Jun-15,174.83
27-Jun-15,142.848
28-Jun-15,144.953
29-Jun-15,175.489
30-Jun-15,174.61
01-Jul-15,182.024
02-Jul-15,181.773
03-Jul-15,179.479
04-Jul-15,142.88
05-Jul-15,142
06-Jul-15,199.083
07-Jul-15,195.847
08-Jul-15,167.918
09-Jul-15,185.385
10-Jul-15,175.207
11-Jul-15,139.235
12-Jul-15,136.439
13-Jul-15,180.202
14-Jul-15,189.25
15-Jul-15,203.701
16-Jul-15,199.46
17-Jul-15,177.626
18-Jul-15,137.005
19-Jul-15,138.324
20-Jul-15,182.904
21-Jul-15,183.5
22-Jul-15,188.967
23-Jul-15,188.967
24-Jul-15,173.573
25-Jul-15,139.927
26-Jul-15,137.413
27-Jul-15,152.493
28-Jul-15,154.189
29-Jul-15,161.289
30-Jul-15,174.327
31-Jul-15,160.944
01-Aug-15,137.382
02-Aug-15,130.345
03-Aug-15,151.111
04-Aug-15,151.802
05-Aug-15,144.388
06-Aug-15,157.614
07-Aug-15,141.058
08-Aug-15,127.297
09-Aug-15,126.952
10-Aug-15,157.362
11-Aug-15,161.415
12-Aug-15,158.682
13-Aug-15,152.87
14-Aug-15,164.117
15-Aug-15,142.094
16-Aug-15,142.723
17-Aug-15,194.873
18-Aug-15,204.832
19-Aug-15,185.448
20-Aug-15,185.385
21-Aug-15,181.396
22-Aug-15,145.016
23-Aug-15,136.911
24-Aug-15,179.008
25-Aug-15,178.788
26-Aug-15,177.029
27-Aug-15,196.946
28-Aug-15,193.711
29-Aug-15,156.169
30-Aug-15,141.874
31-Aug-15,193.334
01-Sep-15,188.841
02-Sep-15,198.894
03-Sep-15,213.817
04-Sep-15,202.57
05-Sep-15,177.123
06-Sep-15,173.07
07-Sep-15,203.135
08-Sep-15,211.838
09-Sep-15,194.999
10-Sep-15,202.004
11-Sep-15,190.286
12-Sep-15,160.001
13-Sep-15,145.487
14-Sep-15,185.448
15-Sep-15,198.737
16-Sep-15,200.999
17-Sep-15,213.44
18-Sep-15,200.496
19-Sep-15,175.427
20-Sep-15,177.751
21-Sep-15,208.759
22-Sep-15,220.885
23-Sep-15,234.646
24-Sep-15,244.95
25-Sep-15,240.646
26-Sep-15,216.644
27-Sep-15,204.392
28-Sep-15,245.547
29-Sep-15,238.415
30-Sep-15,236.028
01-Oct-15,239.484
02-Oct-15,240.269
03-Oct-15,220.948
04-Oct-15,202.319
05-Oct-15,241.337
06-Oct-15,232.761
07-Oct-15,236.028
08-Oct-15,255.411
09-Oct-15,252.773
10-Oct-15,228.331
11-Oct-15,256.511
12-Oct-15,340.36
13-Oct-15,374.007
14-Oct-15,376.677
15-Oct-15,368.886
16-Oct-15,347.837
17-Oct-15,295.75
18-Oct-15,279.539
19-Oct-15,311.866
20-Oct-15,324.621
21-Oct-15,317.018
22-Oct-15,286.639
23-Oct-15,282.241
24-Oct-15,258.679
25-Oct-15,246.269
26-Oct-15,279.476
27-Oct-15,279.884
28-Oct-15,296.409
29-Oct-15,292.2
30-Oct-15,284.126
31-Oct-15,245.641
01-Nov-15,246.489
02-Nov-15,312.557
03-Nov-15,307.53
04-Nov-15,292.2
05-Nov-15,274.764
06-Nov-15,243.693
07-Nov-15,199.9
08-Nov-15,204.015
09-Nov-15,263.705
10-Nov-15,261.475
11-Nov-15,267.727
12-Nov-15,272.188
13-Nov-15,284.817
14-Nov-15,286.325
15-Nov-15,242.719
16-Nov-15,286.702
17-Nov-15,284.503
18-Nov-15,285.382
19-Nov-15,313.248
20-Nov-15,350.162
21-Nov-15,349.911
22-Nov-15,390.94
23-Nov-15,428.796
24-Nov-15,439.195
25-Nov-15,407.025
26-Nov-15,406.051
27-Nov-15,401.119
28-Nov-15,336.025
29-Nov-15,315.039
30-Nov-15,374.666
01-Dec-15,346.643
02-Dec-15,331.815
03-Dec-15,343.879
04-Dec-15,323.961
05-Dec-15,327.825
06-Dec-15,284.848
07-Dec-15,328.139
08-Dec-15,322.924
09-Dec-15,352.015
10-Dec-15,374.227
11-Dec-15,365.964
12-Dec-15,338.098
13-Dec-15,326.977
14-Dec-15,380.196
15-Dec-15,367.975
16-Dec-15,321.605
17-Dec-15,275.518
18-Dec-15,294.776
19-Dec-15,252.333
20-Dec-15,254.218
21-Dec-15,303.478
22-Dec-15,280.167
23-Dec-15,295.687
24-Dec-15,289.027
25-Dec-15,271.685
26-Dec-15,234.206
27-Dec-15,258.113
28-Dec-15,312.086
29-Dec-15,338.35
30-Dec-15,326.411
31-Dec-15,301.216
01-Jan-16,312.84
02-Jan-16,338.601
03-Jan-16,338.13
04-Jan-16,415.664
05-Jan-16,421.413
06-Jan-16,445.823
07-Jan-16,434.137
08-Jan-16,403.286
09-Jan-16,350.696
10-Jan-16,334.014
11-Jan-16,414.376
12-Jan-16,403.946
13-Jan-16,429.519
14-Jan-16,461.374
15-Jan-16,459.961
16-Jan-16,424.084
17-Jan-16,457.761
18-Jan-16,566.492
19-Jan-16,548.176
20-Jan-16,519.148
21-Jan-16,533.851
22-Jan-16,491.376
23-Jan-16,367.441
24-Jan-16,340.831
25-Jan-16,326.129
26-Jan-16,348.968
27-Jan-16,341.837
28-Jan-16,372.216
29-Jan-16,363.451
30-Jan-16,349
31-Jan-16,331.344
01-Feb-16,328.988
02-Feb-16,349.408
03-Feb-16,390.28
04-Feb-16,402.092
05-Feb-16,348.183
06-Feb-16,289.592
07-Feb-16,298.577
08-Feb-16,349.534
09-Feb-16,409.098
10-Feb-16,411.454
11-Feb-16,415.224
12-Feb-16,429.236
13-Feb-16,388.521
14-Feb-16,412.523
15-Feb-16,455.405
16-Feb-16,472.558
17-Feb-16,474.349
18-Feb-16,471.396
19-Feb-16,399.265
20-Feb-16,339.826
21-Feb-16,304.64
22-Feb-16,390.029
23-Feb-16,403.066
24-Feb-16,435.016
25-Feb-16,453.803
26-Feb-16,447.646
27-Feb-16,375.2
28-Feb-16,379.567
29-Feb-16,425.215
01-Mar-16,454.871
02-Mar-16,410.48
03-Mar-16,416.827
04-Mar-16,451.667
05-Mar-16,386.636
06-Mar-16,380.635
07-Mar-16,426.754
08-Mar-16,424.209
09-Mar-16,401.213
10-Mar-16,392.448
11-Mar-16,413.748
12-Mar-16,357.356
13-Mar-16,346.172
14-Mar-16,394.427
15-Mar-16,412.742
16-Mar-16,391.128
17-Mar-16,372.624
18-Mar-16,401.747
19-Mar-16,341.994
20-Mar-16,323.144
21-Mar-16,372.938
22-Mar-16,361.723
23-Mar-16,353.838
24-Mar-16,358.393
25-Mar-16,359.304
26-Mar-16,237.599
27-Mar-16,253.935
28-Mar-16,274.669
29-Mar-16,322.39
30-Mar-16,316.641
31-Mar-16,339.072
01-Apr-16,304.64
02-Apr-16,243.348
03-Apr-16,191.606
04-Apr-16,257.988
05-Apr-16,283.12
06-Apr-16,303.101
07-Apr-16,322.139
08-Apr-16,326.097
09-Apr-16,253.338
10-Apr-16,228.802
11-Apr-16,238.604
12-Apr-16,246.772
13-Apr-16,268.638
14-Apr-16,247.212
15-Apr-16,251.704
16-Apr-16,238.29
17-Apr-16,253.966
18-Apr-16,283.34
19-Apr-16,270.554
20-Apr-16,264.711
21-Apr-16,251.484
22-Apr-16,259.464
23-Apr-16,255.38
24-Apr-16,280.261
25-Apr-16,351.89
26-Apr-16,353.366
27-Apr-16,316.735
28-Apr-16,329.679
29-Apr-16,308.661
30-Apr-16,255.411
01-May-16,234.52
02-May-16,241.274
03-May-16,238.698
04-May-16,224.498
05-May-16,174.107
06-May-16,162.106
07-May-16,138.136
08-May-16,135.12
09-May-16,158.808
10-May-16,159.938
11-May-16,162.452
12-May-16,163.991
13-May-16,162.012
14-May-16,171.562
15-May-16,185.291
16-May-16,198.549
17-May-16,221.765
18-May-16,224.31
19-May-16,215.105
20-May-16,207.094
21-May-16,143.759
22-May-16,165.531
23-May-16,228.582
24-May-16,235.4
25-May-16,239.138
26-May-16,206.183
27-May-16,190.192
28-May-16,145.927
29-May-16,143.194
30-May-16,192.548
31-May-16,178.411
01-Jun-16,185.668
02-Jun-16,183.186
03-Jun-16,186.045
04-Jun-16,141.56
05-Jun-16,137.602
06-Jun-16,172.725
07-Jun-16,172.316
08-Jun-16,165.719
09-Jun-16,173.07
10-Jun-16,178.568
11-Jun-16,149.948
